Feature,Importance
rainbow_score,0.4049134822331235
SZA,0.129611382363916
CLRSKY_SFC_SW_DWN,0.10870071131538314
solar_altitude,0.07341982427704276
PRECTOTCORR,0.06599013489237456
ALLSKY_SFC_SW_DWN,0.06162290113653992
ALLSKY_KT,0.0557311031645577
hour,0.049790275800244393
solar_azimuth,0.032074137344463356
T2M,0.007179774103111051
season_encoded,0.0029371297220510922
day_of_year,0.002544636251562664
RH2M,0.0024459196991671556
month,0.001970020728588419
PS,0.000761106704198728
WS2M,0.00016240223233675557
WD2M,0.00014505803133879505
